LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
KBTB,NYCEEC,K,Brightside Academy - Barbey,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-257-2222,683 Barbey St,11207,1,28,1016019,181750,pswift@brightsideacademy.com,3,http://brightsideacademy.com,7,1,19KBTB,40.665592,-73.885673,5,42,1124,3398467,3040917501,East New York                                                              
KBFN,NYCEEC,K,Strong Place For Hope DCC - 2nd Street,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-499-0747,333 2nd St,11215,1,27,988821,184821,strongplaceforhope2@hotmail.com,3,http://strongplaceforhopedaycare.com,6,1,15KBFN,40.673788,-73.983568,6,39,135,3346912,3009690052,Park Slope-Gowanus                                                         
KBMZ,NYCEEC,K,Warren Street Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-237-9578,343 Warren St,11201,1,26,986956,188923,nsingh@lmcmc.com,3,http://lutheranhealthcare.org/main/warrenstreetcenterforchildrenandfamilies.aspx,4,1,15KBMZ,40.685037,-73.990254,2,33,69,3006144,3003910056,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KBTA,NYCEEC,K,Bedford Stuyvesant ECDC 133,,718-453-0828,133 Kings First Walk,11233,3,15,1004502,185396,rattanik@bsecdc.org,3,,7,1,16KBTA,40.675367,-73.927198,8,41,307,3324601,3013440001,Crown Heights North                                                        
K120,DOE,K,P.S. 120 Carlos Tapia,,718-455-1000,18 Beaver St,11206,1,90,1001511,194534,lcaraba@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/14/k120,3,1,14K120,40.700911,-73.938884,4,34,389,3071806,3031370026,Bushwick South                                                             
K273,DOE,K,P.S. 273 Wortman,,718-649-5739,923 Jerome St,11207,1,36,1017806,179114,mavery@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/19/k273,3,3,19K273,40.657922,-73.879354,5,42,1078,3097973,3044010001,East New York                                                              
K282,DOE,K,P.S. 282 Park Slope,,718-622-1626,180 6 Ave,11217,1,90,990423,185765,RHoke2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k282,7,3,13K282,40.67634,-73.977367,6,39,131,3019597,3009500024,Park Slope-Gowanus                                                         
KBOF,NYCEEC,K,Friends Of Crown Heights 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-638-8686,671 Prospect Pl,11216,1,47,996962,185166,davis@fochdaycare.org,7,http://fochdaycare.org,3,2,17KBOF,40.674695,-73.954594,8,35,221,3030896,3012240045,Crown Heights North                                                        
KBFD,NYCEEC,K,St. Marks,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-287-7300,2017 Beverley Rd,11226,1,114,995491,174312,adenis@stmarksheadstart.org,3,http://stmarksheadstart.org,3,2,22KBFD,40.644891,-73.959742,14,40,51001,3117629,3051240057,Flatbush                                                                   
KBVV,NYCEEC,K,"Brooklyn College Child Care Services, Inc.",,718-951-5431,2900 Bedford Ave,11210,3,20,997316,169422,mondesir@brooklyn.cuny.edu,3,http://brooklyn.cuny.edu/web/academics/schools/education/partnerships/ecc.php,7,1,22KBVV,40.631691,-73.952656,14,45,772,3347326,3075520100,Flatbush                                                                   
K377,DOE,K,P.S. 377 Alejandrina B De Gautier,,718-574-0325,200 Woodbine St,11221,1,36,1007847,192076,dzagami@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k377,7,3,32K377,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South                                                             
K238,DOE,K,P.S. 238 Anne Sullivan,,718-339-4355,1633 East 8 St,11223,1,102,994024,161069,hmusoff@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/21/k238,3,3,21K238,40.608862,-73.965058,15,44,420,3176229,3066400013,Homecrest                                                                  
KBJF,NYCEEC,K,Cooper Park CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-389-5959,292 Frost St,11222,1,14,1000976,201113,cooperpark@e-s-s.org,3,http://essnyc.org/ece,7,1,14KBJF,40.718895,-73.939633,1,34,449,3327829,3028670001,East Williamsburg                                                          
KCIY,NYCEEC,K,"Ronomoza, Inc. / The Learning Experience",,718-627-7340,412 Kings Hwy,11223,1,36,991295,159431,brooklyn@tlecorp.com,3,http://brooklyn.tlechildcare.com/,3,1,21KCIY,40.604473,-73.974795,11,44,412,3253634,3066787501,Bensonhurst East                                                           
K241,DOE,K,P.S. 241 Emma L Johnston,,718-636-4725,976 President St,11225,1,72,995237,183023,flucius@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/17/k241,7,3,17K241,40.669339,-73.960675,9,35,213,3378160,3011880001,Crown Heights South                                                        
K145,DOE,K,P.S. 145 Andrew Jackson,,718-821-4823,100 Noll St,11206,1,90,1003047,194870,LMalloy@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k145,7,3,32K145,40.701692,-73.932338,4,34,425,3071915,3031530011,Bushwick South                                                             
K209,DOE,K,P.S. 209 Margaret Mead,,718-743-1954,2609 East 7 St,11235,1,36,994897,153044,flocurc@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/21/k209,3,3,21K209,40.586845,-73.96198,13,48,370,3196224,3072440001,Brighton Beach                                                             
KBVE,NYCEEC,K,Urban Strategies 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-348-9349,1152 Elton St,11239,1,40,1019142,178427,usheadstart1@aol.com,3,http://urbanstrategiesny.org,7,1,19KBVE,40.655121,-73.873052,5,42,1070,3398202,3044487501,East New York                                                              
KCJT,NYCEEC,K,Kaleidoscope Early Childhood Develepment Center,,917-652-4422,480 Stratford Rd,11218,1,43,993255,171230,ecdckaleidoscope@aol.com,2,http://ecdckaleidoscope.com,7,1,22KCJT,40.636662,-73.967364,14,40,526,3413863,3051747501,Flatbush                                                                   
K279,DOE,K,P.S. 279 Herman Schreiber,,718-444-4316,1070 East 104 St,11236,1,72,1014049,173991,trawleigh@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k279,3,3,18K279,40.644203,-73.892264,18,46,986,3326733,3082300001,Canarsie                                                                   
KBWH,NYCEEC,K,Jonathan Williams,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-387-5011,321 Roebling St,11211,1,31,995245,197276,vscott@lifetech.com,3,http://lifetech.org,7,1,14KBWH,40.70832,-73.960981,1,33,525,3341975,3021400026,North Side-South Side                                                      
K312,DOE,K,P.S. 312 Bergen Beach,,718-763-4015,7103 Ave T,11234,1,54,1009549,165828,syoo2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k312,3,3,22K312,40.621413,-73.908987,18,46,69602,3236665,3083930001,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
K244,DOE,K,P.S. 244 Richard R Green,,718-346-6240,5404 Tilden Ave,11203,1,36,1004881,175443,dedwards@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k244,1,3,18K244,40.648423,-73.925948,17,45,946,3104513,3047390001,Rugby-Remsen Village                                                       
K146,DOE,K,P.S. 146,<P><Strong>Note:</strong> Students who qualify for Free and Reduced Lunch have priority after siblings.</p>,718-923-4750,610 Henry St,11231,1,36,983782,186982,amysumner@bns146.org,3,http://bns146.org,3,1,15K146,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
K235,DOE,K,P.S. 235 Lenox School,,718-773-4869,525 Lenox Rd,11203,1,36,1000654,177895,llord@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k235,3,3,18K235,40.654704,-73.941089,17,41,814,3107846,3048440001,East Flatbush-Farragut                                                     
K110,DOE,K,P.S. 110 The Monitor,,718-383-7600,124 Monitor St,11222,1,90,1000314,202930,tatson@schools.nyc.gov,2,http://ps110k.org,3,3,14K110,40.723897,-73.942312,1,33,591,3067144,3026880042,Greenpoint                                                                 
K137,DOE,K,P.S. / I.S. 137 Rachel Jean Mitchell,,718-453-2926,121 Saratoga Ave,11233,1,18,1007348,187847,zcooper@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/23/k137,3,3,23K137,40.682458,-73.917088,16,41,373,3040878,3015100001,Ocean Hill                                                                 
KBGY,NYCEEC,K,"Kreative Kare DCC, Inc.",,718-386-3242,292 Palmetto St,11237,1,20,1008189,193091,kreativekare@aol.com,7,,8,1,32KBGY,40.696805,-73.913702,4,37,435,3076842,3033620006,Bushwick North                                                             
KCMZ,NYCEEC,K,Free Greek Community Of The Three Hierarchs,,718-339-0280,1720 Ave P,11229,1,48,996395,161684,vur501@aol.com,5,,9,3,22KCMZ,40.610635,-73.95642,15,48,552,3182464,3067800001,Madison                                                                    
KBPS,NYCEEC,K,Mother Love,,718-853-1408,"1681 49 St, #1f",11204,1,38,988846,168799,motherslove@earthlink.net,3,,7,1,20KBPS,40.629973,-73.98373,12,44,474,3129017,3054480058,Borough Park                                                               
KCNH,NYCEEC,K,Kiddieprise - 1520 86th Street,,718-232-1936,1520 86th St,11228,1,18,981727,161849,info@purplecrayonny.com,5,http://purplecrayonny.com,9,3,20KCNH,40.611107,-74.009033,11,43,172,3166172,3063600045,Bath Beach                                                                 
KBVT,NYCEEC,K,Yeshiva Headstart Keap Street,,718-486-6500,274 Keap St,11211,3,86,996553,196720,yeshivaheadstart@thejnet.com,6,,1,2,14KBVT,40.706633,-73.95599,1,33,529,3060261,3022010025,Williamsburg                                                               
K297,DOE,K,P.S. 297 Abraham Stockton,,718-388-4581,700 Park Ave,11206,1,18,998786,193431,jbrown28@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/14/k297,2,3,14K297,40.697781,-73.947809,3,36,257,3048508,3017390011,Bedford                                                                    
KCML,NYCEEC,K,Bryan's Educational Center,,718-282-6944,3922 Church Ave,11203,1,36,1000837,176492,bryansdaycare@aol.com,5,http://bryanseducationalcenter.com,9,3,18KCML,40.651237,-73.94067,17,45,858,3109654,3048930010,East Flatbush-Farragut                                                     
K005,DOE,K,P.S. 005 Dr. Ronald Mcnair,,718-574-2333,820 Hancock St,11233,1,36,1005773,189031,lgates@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k005,3,3,16K005,40.685695,-73.922463,3,41,377,3039906,3014900001,Stuyvesant Heights                                                         
KBSA,NYCEEC,K,Bushwick United HDFC 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-821-2345,77 Wilson Ave,11237,1,38,1004288,195057,BUSHEDU@AOL.COM,5,,9,3,32KBSA,40.702,-73.927984,4,34,427,3394894,3031740002,Bushwick North                                                             
KBCZ,NYCEEC,K,Pine Street Day Care,,718-235-1150,872 - 874 Cres St,11208,2,78,1020888,181987,pinestreetdaycarecenter@verizon.net,5,,9,3,19KBCZ,40.666179,-73.867696,5,42,1220,3000000,3045070017,East New York                                                              
K039,DOE,K,P.S. 039 Henry Bristow,,718-330-9310,417 6 Ave,11215,1,36,988958,182905,,7,http://ps39.org,3,3,15K039,40.668916,-73.983195,6,39,153,3021932,3010000001,Park Slope-Gowanus                                                         
KBOS,NYCEEC,K,John Coker DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-452-1414,1375 Bushwick Ave,11207,1,37,1009103,188988,JOHNCOKER75@AOL.COM,2,,3,1,32KBOS,40.685173,-73.910526,4,37,403,3079655,3034330005,Bushwick South                                                             
K203,DOE,K,P.S. 203 Floyd Bennett School,,718-241-8488,5101 Ave M,11234,1,126,1004878,165792,lesposi3@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k203,3,3,22K203,40.621436,-73.925989,18,46,680,3218626,3078490001,Flatlands                                                                  
KAPR,NYCEEC,K,Talmud Torah Crown Heights Yeshivah,,718-444-5800,6363 Ave U,11234,1,40,1008464,163862,chyjoan@yahoo.com,3,,3,2,22KAPR,40.616209,-73.912697,18,46,698,3236983,3084060035,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
KBWG,NYCEEC,K,Life - Coney Island,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-942-4494,2757 West 33rd St,11224,1,27,984471,149969,mjordan@lifetech.org,3,http://lifetech.org,7,1,21KBWG,40.578145,-74.00018,13,47,330,3331093,3069640002,Seagate-Coney Island                                                       
KBPA,NYCEEC,K,Boulevard Nursery School,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-649-2295,2150 Linden Blvd,11207,1,20,1016595,180222,coraliehook@gmail.com,3,,8,1,19KBPA,40.661593,-73.883597,5,42,1110,3324285,3043550001,East New York                                                              
K133,DOE,K,P.S. 133 William A Butler,"<P> <Strong>Note:</strong> Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or are English Language Learners will have priority for 35% of those seats. </P>",718-398-5320,610 Baltic St,11217,1,64,989651,187141,adickerson@schools.nyc.gov,2,http://ps133brooklyn.org,3,3,13K133,40.680428,-73.980491,6,39,12901,3413716,3009400111,Park Slope-Gowanus                                                         
K123,DOE,K,P.S. 123 Suydam,,718-821-4810,100 Irving Ave,11237,1,36,1005736,195753,aparach@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k123,1,3,32K123,40.703767,-73.922702,4,34,445,3072966,3032100001,Bushwick North                                                             
KBLF,NYCEEC,K,"Bambi DCC, Inc.",,718-771-1603,138 Hancock St,11216,1,20,998021,187871,bambicare@gmail.com,3,http://bambidcc.com,8,1,13KBLF,40.682447,-73.950716,3,36,245,3052608,3018370052,Bedford                                                                    
KCKC,NYCEEC,K,Alpha Christian Academy,,718-272-0505,921 East 107th St,11236,1,20,1014150,175485,alphachristiandaycare921@gmail.com,3,http://alphachristianacademy.com,6,1,18KCKC,40.647928,-73.892691,18,46,984,3230692,3082150022,Canarsie                                                                   
KAHX,NYCEEC,K,Gateway City Academy,,718-921-3737,257 Bay Rdg Ave,11220,1,143,976810,171036,gca@gatewaycityacademy.net,5,http://gatewaycityacademy.net,9,3,20KAHX,40.636018,-74.026914,10,43,68,3145159,3058620060,Bay Ridge                                                                  
KBJW,NYCEEC,K,YWCA - NYC Brownsville ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-342-2905,1592 East New York Ave,11212,1,9,1009505,184191,aalexander@ywcanyc.org,3,http://ywcanyc.org,7,1,23KBJW,40.672884,-73.909392,16,41,906,3339438,3034890001,Brownsville                                                                
K194,DOE,K,P.S. 194 Raoul Wallenberg,,718-648-8804,3117 Ave W,11229,1,36,1002569,156858,mzissle@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k194,3,3,22K194,40.596757,-73.933499,15,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KBLA,NYCEEC,K,"The Little Darlings DCC, Inc.",,718-469-6207,1531 Nostrand Ave,11226,1,18,998366,175635,morrisdaycare@optimum.net,5,,9,3,17KBLA,40.648768,-73.949343,17,45,824,3110017,3049010073,Erasmus                                                                    
Z044,DOE,K,Pre - K Center At 7301 15th Avenue,,212-637-8000,7301 15th Ave,11228,1,72,983772,164622,pre-k@schools.nyc.gov,5,,9,3,20Z044,40.618718,-74.001898,11,43,188,3253521,3062020006,Bensonhurst West                                                           
KAYF,NYCEEC,K,PAL La Puerta Abierta,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-373-1100,3001 West 37 St,11224,1,30,983647,147886,rbhattacharjee@palnyc.org,2,http://palnyc.org,6,1,21KAYF,40.573177,-74.002509,13,47,340,3189617,3070650001,Seagate-Coney Island                                                       
K192,DOE,K,P.S. 192 - The Magnet School For Math And Science Inquiry,,718-633-3061,4715 18 Ave,11204,1,46,989832,168445,lisaac@schools.nyc.gov,3,http://ps-is192.org/,3,3,20K192,40.629303,-73.979995,12,44,476,3128909,3054450001,Borough Park                                                               
K191,DOE,K,P.S. 191 Paul Robeson,,718-756-1206,1600 Park Pl,11233,1,18,1005274,184040,ecapolo@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/17/k191,3,3,17K191,40.672005,-73.924329,8,41,359,3036635,3013750012,Crown Heights North                                                        
K025,DOE,K,P.S. 025 Eubie Blake School,,718-574-2336,787 Lafayette Ave,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/16/k025,3,3,16K025,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         
Z042,DOE,K,Pre - K Center At P.S. 118 The Maurice Sendak School,,212-637-8000,211 8th St,11215,1,72,987635,183726,pre-k@schools.nyc.gov,5,,9,3,15Z042,40.670764,-73.987787,6,39,137,3021840,3009980001,Park Slope-Gowanus                                                         
K178,DOE,K,P.S. 178 St. Clair Mckelway,,718-495-7768,2163 Dean St,11233,1,36,1007728,185292,jhenry1@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/23/k178,3,3,23K178,40.675024,-73.915778,16,41,303,3038718,3014400056,Ocean Hill                                                                 
Z063,DOE,K,Pre - K Center At 1340 East 29th Street,,212-637-8000,1340 East 29th St,11232,1,252,999074,164551,pre-k@schools.nyc.gov,5,,9,3,22Z063,40.61845,-73.94633,14,45,756,3337357,3076640041,Midwood                                                                    
K198,DOE,K,P.S. 198 Brooklyn,,718-282-4920,4105 Farragut Rd,11210,1,36,1001725,171434,jmorgan2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k198,3,3,22K198,40.63694,-73.937339,17,45,836,3113388,3049880066,East Flatbush-Farragut                                                     
KBLW,NYCEEC,K,Bushwick United HDFC 4,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-269-8152,178 Leonard St,11206,1,21,998991,198004,catherinel@bushwickunited.org,3,http://bushwickunited.org,2,2,14KBLW,40.710036,-73.946992,1,34,505,3327883,3030240001,East Williamsburg                                                          
Z014,DOE,K,Pre - K Center At 1215 Avenue X,,718-368-8660,1215 Ave X,11235,1,108,995767,154989,JSkop@schools.nyc.gov,5,,9,3,21Z014,40.591856,-73.95842,15,48,584,3395412,3073960044,Homecrest                                                                  
KBPI,NYCEEC,K,Breukelen Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-649-2960,715 East 105th St,11236,1,20,1013260,175749,,3,,3,2,18KBPI,40.648732,-73.896005,18,42,982,3321523,3081930001,Canarsie                                                                   
K007,DOE,K,P.S. 007 Abraham Lincoln,,718-647-3600,858 Jamaica Ave,11208,1,36,1019458,190490,cnoel@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/19/k007,9,3,19K007,40.689697,-73.873109,5,37,118201,3090998,3041060039,Cypress Hills-City Line                                                    
KCNZ,NYCEEC,K,NY Preschool Park Slope,,718-228-0800,125 5th Ave,11217,1,54,990177,186542,stephanie.t@nykidsclub.com,5,http://nykidsclub.com,9,3,13KCNZ,40.6788,-73.978833,6,39,131,3019195,3009440006,Park Slope-Gowanus                                                         
KBQQ,NYCEEC,K,Bambi Day Care III,,718-368-1817,2114 Brown St,11229,1,98,1000882,157918,info@bambiacademy.com,3,http://bambidaycare.com,3,1,22KBQQ,40.600126,-73.93988,15,46,570,3200302,3073640011,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KABP,NYCEEC,K,Battalion Christian Academy,,718-774-5447,780 Schenectady Ave,11203,1,36,1002608,177682,alcockfiled@gmail.com,3,,8,1,18KABP,40.654351,-73.9336,17,41,870,3108499,3048670118,East Flatbush-Farragut                                                     
KAJT,NYCEEC,K,St. Frances Cabrini Catholic Academy,,718-386-9277,181 Suydam St,11221,1,72,1004723,194266,wanda.marty@sfc-ca.net,2,http://sfc-ca.com,4,1,32KAJT,40.699896,-73.92592,4,34,423,3072916,3032080041,Bushwick South                                                             
KBPT,NYCEEC,K,NYL - William O'Connor,,718-680-9751,420 95th St,11209,1,19,975747,163419,mary.olsen@yai.org,5,,4,2,20KBPT,40.615448,-74.030699,10,43,162,3329016,3061230028,Bay Ridge                                                                  
K401,DOE,K,Christopher Avenue Community School,,718-495-5761,51 Christopher Ave,11212,1,36,1010248,184196,dmitche5@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/23/k401,3,3,23K401,40.672462,-73.906552,16,37,908,3083608,3036930001,Brownsville                                                                
KBQE,NYCEEC,K,Buratino International Day Care,,718-368-2113,2962 Brighton 1st St,11235,1,36,993473,150264,svetauchetel@yahoo.cm,1,http://buratinodaycare.com,7,1,21KBQE,40.579312,-73.966521,13,48,364,3321624,3086610054,Brighton Beach                                                             
KBLU,NYCEEC,K,Stagg Street Center For Children,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-388-1395,77 Stagg St,11206,1,70,998837,197692,daycare77@aol.com,3,,3,1,14KBLU,40.709127,-73.947461,1,34,511,3070819,3030230032,East Williamsburg                                                          
K020,DOE,K,P.S. 020 Clinton Hill,,718-834-6744,225 Adelphi St,11205,1,54,992270,190980,lbarbera@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/13/k020,3,3,13K020,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
KABE,NYCEEC,K,Bais Yaakov D'chassidei Gur,,718-338-5600,1975 51st St,11204,1,18,990426,166877,esmith@thejnet.com,5,,9,3,21KABE,40.62465,-73.977946,12,44,464,3129528,3054620045,Borough Park                                                               
KBWE,NYCEEC,K,Inner Force Tots,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-221-1246,1181 East New York Ave,11212,1,145,1005522,182307,challiman@live.com,3,http://innerforce.org,2,1,17KBWE,40.666781,-73.923498,8,41,359,3037640,3013990125,Crown Heights North                                                        
KCLE,NYCEEC,K,"Faces Of The Future ELC, LLC",,718-618-0061,1080 Utica Ave,11203,1,40,1003647,174842,upk21080@gmail.com,5,,9,3,18KCLE,40.64671,-73.929856,17,45,850,3349019,3047340032,East Flatbush-Farragut                                                     
K021,DOE,K,P.S. 021 Crispus Attucks,,718-493-9681,180 Chauncey St,11233,1,54,1004755,187212,lfrazie@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k021,3,3,16K021,40.680727,-73.926597,3,36,381,3047914,3016920017,Crown Heights North                                                        
KBPV,NYCEEC,K,Ring Around The Rosie,,718-492-7464,7104 13th Ave,11228,1,16,982762,166091,Ring7104@verizon.net,4,,8,1,20KBPV,40.622487,-74.005169,10,43,196,3157619,3061770039,Dyker Heights                                                              
KAZM,NYCEEC,K,St. Francis Xavier,,718-857-2559,763 President St,11215,1,36,990715,184947,taylordorothy763@yahoo.com,7,http://sfxsparkslope.org,3,1,15KAZM,40.674465,-73.977497,6,39,157,3020189,3009570017,Park Slope-Gowanus                                                         
KBAI,NYCEEC,K,Guild For Exceptional Children,,718-435-2554,1273 57 St,11219,1,32,985107,169091,alice@gecbklyn.org,2,http://gecbklyn.org,3,2,20KBAI,40.630998,-73.997511,12,44,216,3140076,3056900042,Borough Park                                                               
K274,DOE,K,P.S. 274 Kosciusko,,718-574-0273,800 Bushwick Ave,11221,1,54,1004250,192316,mollivi@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/32/k274,3,3,32K274,40.694921,-73.927931,4,34,393,3073752,3032410037,Bushwick South                                                             
K184,DOE,K,P.S. 184 Newport,,718-495-7775,273 Newport St,11212,1,72,1010622,179822,llinder@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/23/k184,3,3,23K184,40.659966,-73.904901,16,42,918,3082391,3036060001,Brownsville                                                                
KBWW,NYCEEC,K,Williamsburg Y Head Start,,718-387-0229,64 Division Ave,11249,3,90,993758,196868,nbonuso628@gmail.com,3,http://williamsburgy.org,7,1,14KBWW,40.707199,-73.966135,1,33,545,3323170,3021660001,Williamsburg                                                               
KBRD,NYCEEC,K,"Kingsbay YM - YWHA, Inc.",,718-648-7703,3495 Nostrand Ave,11229,1,20,1000562,157414,susan@kingsbayy.org,3,http://kingsbayy.org,3,1,22KBRD,40.598817,-73.94157,15,46,570,3200300,3073630036,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
K329,DOE,K,P.S. 329 Surfside,,718-996-3800,2929 West 30 St,11224,1,48,985385,148644,smarbury@schools.nyc.gov,2,http://ps329.schoolwires.com,7,3,21K329,40.574607,-73.996292,13,47,342,3189517,3070510001,Seagate-Coney Island                                                       
