Row Number,School Name,Borough,Address,Postcode,Lat,Long,Neighborhood,Ages,Website
21,Bais Frima Chinuch Center,K,"1377 42 STREET, Brooklyn, NY",11219,40.6378624,-73.9859643,Kensington,2 - 5 years,
22,Bais Rochel,K,"62 Harrison Ave, Brooklyn, NY",11211,40.7046644,-73.9523924,Williamsburg,PreK - Grade 12,https://www.niche.com/k12/bais-rochel-school-brooklyn-ny/
23,BAIS YAAKOV ACADEMY FOR GIRLS,Q,"124-50 Metropolitan Ave, Kew Gardens, NY",11415,40.704427,-73.826914,Kew Gardens,PreK - Grade 8,https://www.niche.com/k12/bais-yaakov-academy-for-girls-new-york-city-ny/
24,BAIS YAAKOV ATERES MIRIAM,Q,"1214 Heyson Rd, Far Rockaway, NY",11691,40.5963817,-73.7467744,Far Rockaway,PreK - Grade 3,http://www.baisyaakovam.org/
25,Bais Yaakov of 18th Avenue,K,"4419 18th Ave, Brooklyn, NY",11204,40.6301927,-73.9776999,Borough Park,PreK - Grade 12,
26,Bais Yaakov of Bensonhurst,K,"3901 14th Ave, Brooklyn, NY",11218,40.6391332,-73.9840449,Borough Park,PreK - Grade 12,
27,Bais Yitzchak Yeshiva,K,"1413 45th St, Brooklyn, NY",11219,40.6358159,-73.9870088,Borough Park,PreK - Grade 12,
28,Bank Street College School for Children,M,"610 West 112th Street, New York NY",10025,40.8055791,-73.9666112,Morningside Heights,Nursery-Grade 8,https://school.bankstreet.edu/programs/lower-school-nursery-k/pre-kindergarten-4-5s/
29,Barkai Yeshivah,K,"5302 21st Avenue, Brooklyn NY",11204,40.6219243,-73.97708,Mapleton,Pre K - Grade 8,https://barkaiyeshivah.org/Default.aspx
30,Barrow Street Nursery School,M,"27 Barrow Street, New York NY",10014,40.7322731,-74.0030659,Greenwich Village,2-5 years,http://www.greenwichhouse.org/nursery_school/index
31,Basic Trust,M,"127 West 94th St., New York NY",10025,40.792209,-73.969421,Upper West Side,3 months-5 years,http://www.basictrust.org/
32,Basis Independent Brooklyn,K,"556 Columbia Street, Brooklyn, NY",11231,40.6730919,-74.009029,Red Hook,3 - 5 years,https://brooklyn.basisindependent.com/programs/early-learning-program/
33,Basis Independent Manhattan,M,"795 Columbus Avenue, New York, NY",10025,40.7944461,-73.9658766,Upper West Side,3 - 5 years,https://manhattan.basisindependent.com/programs/early-learning-program/
34,Battery Park Montessori,M,"21 South End Ave, New York, NY",10280,40.7081329,-74.017798,Battery Park City,2 - 5 years,https://www.batteryparkmontessori.com/
35,Battery Park City Day Nursery,M,"215 South End Ave, New York NY",10280,40.709587,-74.0168662,Battery Park City,Nursery,http://www.bpcdaynursery.com/
36,Beansprouts Nursery School,K,"453 6th Avenue, Brooklyn NY",11215,40.6675596,-73.9840246,Park Slope,1.9 - ?,http://www.beansproutsnurseryschool.com/
37,Be’er Miriam,K,"287 Heyward Street, Brooklyn, NY",11206,40.705309,-73.951222,Williamsburg,Pre K- Grade 5,
38,Be’ikvei Hatzoin School,K,"31 DIVISION AVENUE, Brooklyn, NY",11249,40.7070087,-73.9681724,Williamsburg,2 - 5 years,
39,Beit Rabban Day School,M,"15 W 86th St, New York NY",10024,40.7858447,-73.9700779,Upper West Side,3 - 5 years,http://www.beitrabban.org/education/early-childhood-gan/
40,Beginnings Nursery & Toddler Program,M,"130 East 16th Street, New York NY",10003,40.734927,-73.9873417,Flatiron District,2-5 years,http://beginningsnursery.net/Home.aspx
41,Berkeley Carroll School,K,"701 Carroll Street, Brooklyn NY",11217,40.674051,-73.9779112,Park Slope,PreK- Grade 12,http://www.berkeleycarroll.org/
42,Beth Chana School,K,"712 Bedford Ave, Brooklyn, NY",11206,40.699509,-73.957447,Williamsburg,PreK - Grade 12,https://www.trulia.com/schools/NY-brooklyn-beth_chana_school-5700119905
43,Beth Jacob Day School,K,"85 Parkville Ave, Brooklyn, NY",11230,40.6294305,-73.9747878,Kensington,Pre K - Grade 8,https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&Zip=11230&Miles=5&ID=00938749
44,Bethel SDA Elementary School,K,"457 Grand Ave Brooklyn, NY",11238,40.6817751,-73.961273,Clinton Hill,Pre K - Grade 8,http://www.betheladventist.org/
45,School of the Blessed Sacrament,M,"147 W 70th Street, New York NY",10023,40.7769787,-73.9812571,Upper West Side,PreK-Grade 8,http://www.sblsnyc.org/
46,The Blue School,M,"241 WATER STREET, New York NY",10038,40.7077717,-74.002538,Financial District,2 - 4 years,https://www.blueschool.org/
47,Bloomingdale Family Program,M,"125 West 109th Street, New York NY",10025,40.8020493,-73.9629378,Upper West Side,3-4 years,https://bloomingdalefamilyprogram.org/
48,BNOS BAIS YAAKOV OF FAR ROCKAWAY,Q,"613 Beach 9th St, Far Rockaway, NY",11691,40.601343,-73.7453126,Far Rockaway,PreK - Grade 12,https://www.bbyschool.org/
49,Bnos Margulia Viznitz,K,"4022 New Utrecht Ave, Brooklyn, NY",11219,40.643912,-73.9943163,Borough Park,PreK - Grade 12,https://www.niche.com/k12/bnos-margulia-viznitz-brooklyn-ny/
50,Bnos Menachem,K,"739 East New York Avenue, Brooklyn, NY",11203,40.6625436,-73.9380487,Crown Heights,PreK- Grade 12,https://www.bnosmenachem.org/
51,Bnos Spinka,K,"127 Wallabout St, Brooklyn, NY",11206,40.7001341,-73.9551316,Williamsburg,Pre K - Grade 8,
52,Bnos Zion of Bobov,K,"5000 14th Ave, Brooklyn, NY",11219,40.6330966,-73.9909457,Borough Park,PreK - Grade 12,https://www.niche.com/k12/bnos-zion-of-bobov-brooklyn-ny/
53,Brick Church School,M,"62 East 92nd Street, New York NY",10128,40.7841247,-73.9551316,Upper East Side,3-6 years,http://www.brickchurchschool.org/
54,Bright Horizons,M,"410 Park Ave, New York, NY",10022,40.7602961,-73.9721901,Midtown,Infants-PreK,
55,Bright Horizons,M,"745 7th Ave, New York NY",10019,40.7604814,-73.9831407,Midtown,Infants-PreK,
56,Bright Horizons,M,"200 Park Ave # 9NE, New York NY",10166,40.7533488,-73.9766668,Midtown,Infants-PreK,
57,Bright Horizons,M,"600 5th Ave, New York NY",10020,40.7576495,-73.9783318,Midtown,Infants-PreK,
58,Bright Horizons at Kent Avenue,K,"175 Kent Avenue, Brooklyn, NY",11211,40.7179382,-73.9637027,Williamsburg,Infants-PreK,
59,Bright Horizons at Lexington,M,"575 Lexington Ave, New York NY",10022,40.7573356,-73.9715375,Midtown,Infants-PreK,
60,Bright Horizons at Long Island City,Q,"42-09 28th Street, Long Island City, NY",11101,40.749352,-73.939059,Long Island City,Infants-PreK,
61,Bright Horizons at Columbus Circle,M,"910 9th Ave, New York NY",10019,40.768788,-73.9847631,Midtown West,Infants-PreK,
62,Bright Horizons at Chelsea,M,"258 W 26th St, New York NY",10001,40.7469206,-73.9968782,Chelsea,Infants-PreK,
63,Bright Horizons at E46th St,M,"127 E 46th St, New York NY",10017,40.7538188,-73.9732642,Midtown East,Infants-PreK,
64,Bright Horizons at Hudson Yards,M,"529A W 29th St, New York NY",10001,40.752326,-74.0030116,Hudson Yards,Infants-PreK,
65,Bright Horizons at Times Square,M,"4 Times Square, New York NY",10044,40.756097,-73.9858453,Midtown,Infants-PreK,
66,Bright Horizons at Tribeca,M,"129 Hudson Street, New York, NY",10013,40.7204271,-74.0088503,Tribeca,Infants-PreK,
67,Bright Horizons at W 89th Street,M,"100A West 89th Street, New York, NY",10024,40.7884036,-73.9711547,Upper West Side,Infants-PreK,
68,Bright Horizons at W 96th Street,M,"103 W 96th St, New York NY",10025,40.7932678,-73.9679352,Upper West Side,Infants-PreK,https://child-care-preschool.brighthorizons.com/ny/newyork/west96th?utm_source=GMB_yext&utm_medium=GMBdirectory&utm_campaign=yext&IMS_SOURCE_SPECIFY=GMB
69,Bright Horizons at Midtown West,M,"406 W 55th St, New York NY",10019,40.7667755,-73.9874458,Hell’s Kitchen,Infants-PreK,https://child-care-preschool.brighthorizons.com/ny/newyork/midtownwest?utm_source=yextCTA&utm_medium=directory&utm_campaign=yextCTA_1474&IMS_SOURCE_SPECIFY=Yext
70,Bright Horizons at New York Hospital - Midtown,M,"435 E 70th St, New York NY",10021,40.7659324,-73.955058,Upper East Side,Infants-PreK,https://child-care-preschool.brighthorizons.com/ny/newyork/nyh
71,Bright Horizons at New York Hospital - Uptown,M,"61 Haven Ave, New York NY",10032,40.8434716,-73.942664,Washington Heights,Infants-PreK,http://centers.brighthorizons.com/nypres/
72,Bright Horizons at the Octagon,M,"888 Main Street, Roosevelt Island, NY",10044,40.7687205,-73.9439269,Roosevelt Island,Infant-PreK,
73,British International School of New York,M,"20 Waterside Plaza, New York NY",10010,40.7368664,-73.972711,Stuyvesant Town/Peter Cooper Village,Nursery- Grade 9,http://www.britishinternationalschoolny.org/
74,Broadway Presbyterian Church Nursery School,M,"601 West 114th St., New York NY",10025,40.8070418,-73.9651341,Morningside Heights,2 - 5 years,http://greatlittleschool.com
75,Brooklyn Free School,K,"372 Clinton Avenue, Brooklyn, NY",11238,40.6870813,-73.9680702,Clinton Hill,4 years - Grade 12,https://www.brooklynfreeschool.org/
76,Brooklyn Friends School,K,"375 Pearl Street, Brooklyn NY",11201,40.6927793,-73.9879469,Downtown Brooklyn,PreK - Grade 12,http://www.brooklynfriends.org/admissions
77,Brooklyn Heights Montessori,K,"185 Court Street, Brooklyn NY",11201,40.687912,-73.9927133,Brooklyn Heights,Preschool-Grade 8,http://www.bhmsny.org/
78,Brooklyn Heights Synagogue School,K,"131 Remsen Street, Brooklyn NY",11201,40.6939433,-73.9931495,Brooklyn Heights,2 - 5 years,http://bhsbrooklyn.org
79,Brooklyn Preparatory School,K,"12020 Flatlands Avenue, Brooklyn, NY",11207,40.651026,-73.8884826,East New York,,http://bpsonline.org/
80,Brooklyn Preschool of Science,K,"11 WYCKOFF STREET, Brooklyn NY",11201,40.6870754,-73.9930806,Cobble Hill,2 - 4 years,http://brooklynpreschoolofscience.com/
81,Brooklyn Preschool of Science,K,"65 PARK PLACE, Brooklyn NY",11217,40.679163,-73.9761808,Park Slope,2 - 4 years,http://brooklynpreschoolofscience.com/
82,Brooklyn Preschool of Science,K,"78 AMITY STREET, Brooklyn NY",11201,40.689575,-73.998278,Brooklyn Heights,2 - 4 years,http://brooklynpreschoolofscience.com/
83,Brooklyn Seventh-Day Adventist School,K,"1260 Ocean Ave, Brooklyn, NY",11230,40.6314366,-73.9578638,West Midwood,Pre K - Grade 8,https://www.bklynsdagnyc.org/
84,Brooklyn Waldorf School,K,"11 Jefferson Avenue, Brooklyn, NY",11238,40.6826635,-73.9572439,Bedford-Stuyvesant,Pre K - Grade 8,https://www.brooklynwaldorf.org/
85,Brotherhood Synagogue Nursery School,M,"28 Gramercy Park South, New York NY",10003,40.7370179,-73.9853445,Gramercy Park/Kipps Bay,2 - 5 years,http://nursery.brotherhoodsynagogue.org
86,Brownstone School,M,"128 West 80th Street, New York NY",10024,40.7830306,-73.9764028,Upper West Side,2-5 years,http://www.brownstoneschool.com/
87,Buckle My Shoe,M,"40 Worth Street, New York NY",10013,40.7171363,-74.006901,Tribeca,3 months-5 years,http://www.bucklemyshoe.org/
88,Buckle My Shoe,M,"230 W. 13th Street, New York NY",10011,40.7383616,-74.0017575,West Village,3 months-5 years,http://www.bucklemyshoe.org/
89,BUILDING BLOCKS SCHOOL,R,"55 Forest Ave, Staten Island, NY",10301,40.6312106,-74.0909143,Staten Island,3 - 5 years,https://www.buildingblocksmontessori.com/lower-school-programs
90,Caedmon School,M,"416 E. 80th Street, New York NY",10075,40.7724796,-73.9513662,Upper East Side,2.9 years-Grade 5,http://caedmonschool.org/
91,"Calhoun School, Lower",M,"160 West 74th Street, New York NY",10024,40.7794746,-73.9800874,Upper West Side,3 years- Grade 4,http://www.calhoun.org/
92,Cardinal Spellman Head Start,M,"137 E 2nd St, New York NY",10009,40.7230138,-73.9863775,East Village,3 - 5 years,http://www.headstartprogram.us/program/cardinal-spellman-head-start
93,Cathedral School,M,"319 E 74TH ST, New York NY",10021,40.7699183,-73.9561419,Upper East Side,2 years-Grade 8,http://www.cathedralschoolny.org/apps/pages/index.jsp?uREC_ID=1097377&type=d&pREC_ID=1381364
94,(Esther Ashkensas) Central Park Early Learning Center,M,"450 W 56th Street, New York NY",10019,40.767876,-73.9887912,Upper West Side,3 - 5 years,https://www.ahrcnyc.org/locations/esther-ashkenaearning-center/
95,Central Park Montessori School,M,"1 West 91st Street, New York NY",10024,40.7887664,-73.9674396,Upper West Side,2.8 - 5 years,https://www.twinparks.org/central-park-montessori-school
96,May Family Nursery School at Central Synagogue,M,"123 East 55th Street, New York NY",10022,40.7600613,-73.9705371,East 40s and 50s,2 - 5 years,http://www.centralsynagogue.org/
97,CHABAD ACADEMY OF ARTS AND SCIENCES,Q,"212-12 26th Ave, Bayside, NY",11360,40.7780367,-73.7772639,Bayside,PreK - Grade 8,https://www.chabadnequeens.com/
98,Chabad Early Learning Center,M,"166 West 97th Street, New York NY",10025,40.7943165,-73.9693486,Upper West Side,2 - 5 years,https://www.chabadelc.com/
99,Chabad Preschool,M,"419 East 77th St., New York NY",10075,40.770877,-73.9527782,Upper East Side,2 - 4 years,http://www.chabaduppereastside.com/pages/Preschool.html
100,Charles Churn Christian Academy,K,"113 Osborn Street, Brooklyn, NY",11212,40.6696894,-73.9086494,Brownsville,PreK - Grade 12,https://charleschurnchristianacademy.org/services.html
101,Chelsea Day School,M,"319 Fifth Avenue, New York NY",10016,40.7471184,-73.9850482,Chelsea,2-5 years,http://chelseadayschool.org/
102,Chelsea Piers Kids Preschool Program,M,"Pier 62, New York NY",10011,40.7487678,-74.0107952,Chelsea,2.7 - 5 years,https://www.chelseapiers.com/cpkids/preschool-program/overview/
103,Children's Learning Center,M,"90 La Salle St, New York NY",10027,40.8130022,-73.9586215,Morningside Heights,6 months- 4 years,http://www.clcnyc.com/
104,Children's International Workshop,M,"17 E 16th St, New York NY",10003,40.7369864,-73.991442,Flatiron District,2-5 years,http://childrensinternationalworkshop.com/
105,Children's All Day School and Pre-Nursery,M,"109 East 60th Street, New York NY",10022,40.7634744,-73.968724,Upper East Side,6 months-5 years,http://www.childrensallday.org/
106,Choo Choo Train Daycare Center,K,"539 Court Street, Brooklyn NY",11231,40.6743375,-73.9994924,Red Hook,2.8 - 5 years,http://choochootraindaycare.com/
107,Christ Church Day School,M,"524 Park Avenue, New York NY",10065,40.7638893,-73.9696417,Upper East Side,2-5 years,http://www.christchurchnyc.org/day&school.htm
108,Christian Heritage Academy,K,"1100 East 42nd Street, Brooklyn, NY",11210,40.6281167,-73.9358099,Flatlands,2 - Grade 12,http://www.cha-ny.org/
109,Church of the Epiphany Day School,M,"1393 York Ave, New York NY",10021,40.7684871,-73.9529963,Upper East Side,2-5 years,http://www.epiphanynyc.org/day-school
110,City & Country School,M,"146 W 13th Street, New York NY",10011,40.7373347,-73.9994162,Greenwich Village,2-13 years,http://cityandcountry.org/
111,City of Faith Christian School,X,"3445 White Plains Rd, Bronx, NY",10467,40.8766392,-73.8673131,Williamsbridge,,http://www.cityoffaithchristianschool.org/
112,Clara Mohammed School,M,"102 West 116th Street, New York, NY",10026,40.8019977,-73.9502411,Harlem,2 - Grade 3,http://nycmschools.com/
113,Columbia Grammar and Prep School,M,"5 West 93rd Street, New York NY",10025,40.79018,-73.9667949,Upper West Side,PreK-Grade 12,http://cgps.org/
114,Columbia Greenhouse Nursery School,M,"404 W. 116TH STREET, New York NY",10027,40.806069,-73.960014,Morningside Heights,2-5 years,http://columbiagreenhouse.com/
115,Columbus Park West Nursery School,M,"100 W 94th Street, New York NY",10025,40.7915239,-73.969067,Upper West Side,3-5 years,http://www.isaagny.org/school_directory/index.aspx?LinkID=22356/
116,Columbus Preschool,M,"606 Columbus Ave, New York NY",10025,40.788786,-73.9709158,Upper West Side,,http://www.columbuspre-school.com/HOME.html
117,Tiferes Bnos/Cong Ahavaz Shulem Nadverna,K,"826 Myrtle Ave, Brooklyn, NY",11219,40.6952906,-73.948886,Bushwick,PreK - Grade 12,https://www.niche.com/k12/tiferes-bnos-cong-ahavaz-shulem-nadverna-brooklyn-ny/
118,Congregation Machna Shalva,K,"4820 16th Ave, Brooklyn, NY",11204,40.63131,-73.985534,Kensington,PreK - Grade 12,
119,Congregation Ohr Menachem,K,"1729 President St, Brooklyn, NY",1213,40.6671717,-73.929633,Crown Heights,Pre K - Grade 7,https://www.niche.com/k12/congregation-ohr-menachem-brooklyn-ny/
120,Convent of the Sacred Heart (NYC),M,"1 EAST 91ST STREET, New York NY",10128,40.7846484,-73.9576799,Upper East Side,PreK-Grade 12,http://www.cshnyc.org/
121,The Co-op School,K,"40 Brevoort Place, Brooklyn, NY",11216,40.6799437,-73.9538571,Bedford-Stuyvesant,Pre K - Grade 8,https://thecoopschool.org/
122,Corlears School,M,"324 W 15th Street, New York NY",10011,40.7407704,-74.0032266,Chelsea,2-10 years,http://www.corlearsschool.org/
123,Corpus Christi School,M,"529 West 121st Street, New York NY",10027,40.8110664,-73.9607802,Morningside Heights,PreK-Grade 8,http://www.corpus-christi-nyc.org/
124,Danielle’s Educating for the Future,K,"144 E 56th St, Brooklyn",11203,40.6534815,-73.9250288,Brownsville,Pre K ,https://www.facebook.com/Danielles-Educating-for-the-Future-109030448951/
125,Darkei Chaim,K,"1270 52nd St, Brooklyn, NY",11219,40.633477,-73.9945153,Borough Park,PreK-Grade 4,https://www.niche.com/k12/darkei-chaim-brooklyn-ny/
126,The Day School at Christ and St. Stephen’s,M,"122 West 69th Street, New York NY",10023,40.775684,-73.981288,Upper West Side,2 - 4 years,http://www.thedayschoolatcss.org/about-the-school/
127,"Discovery Programs, Inc.",M,"251 W 100th St, New York NY",10025,40.7978634,-73.9709274,Upper West Side,19 months-4 years,http://discoveryprograms.com/
128,Dillon Child Study Center at St. Joseph’s University,K,"239 Vanderbilt Ave, New York NY",11205,40.6907605,-73.9690907,Clinton Hill,3 - 5 years,https://dillon.sjcny.edu/
129,"Downtown Little School, The",M,"15 Dutch Street, New York NY",10038,40.7096014,-74.0073806,Battery Park City,2-5 years,https://www.downtownlittleschool.org/
130,The Downing Street Play Group,M,"32 CARMINE STREET, New York NY",10014,40.7300239,-74.0029378,Greenwich Village,2 - 4 years,https://www.downingstreetplaygroup.org/
131,The Dwight School,M,"144 Riverside Blvd, New York NY",10069,40.777221,-73.9886011,Upper West Side,2 - 5 years,https://www.dwight.edu/preschool-kindergarten
132,Ebenezer Preparatory School,K,"5464 Kings Hwy, Brooklyn, NY",11203,40.6418634,-73.9258326,East Flatbush,Pre K - Grade 8,https://www.niche.com/k12/ebenezer-preparatory-school-brooklyn-ny/
133,École Internationale de New York,M,"111 E 22nd Street, New York NY",10010,40.7394159,-73.9860561,Flatiron District,Nursery- Grade 5,http://www.einy.org/
134,Elements Preschool,M,"99 Suffolk Street, New York NY",10002,40.7187338,-73.9864234,Lower East Side,2 - 5.9 years,http://elementspreschool.com/
135,ELISHAMA CHILDREN'S PREP SCHOOL,Q,"206-18 Hollis Ave, Queens Village, NY",11429,40.7072657,-73.7503139,Hollis,Prek - Grade 2,https://www.trulia.com/schools/NY-queens_village-elishama_childrens_prep_school-5700055269
136,ELTINGVILLE LUTHERAN SCHOOL,R,"300 Genesee Ave, Staten Island, NY",10312,40.5525865,-74.1666816,Staten Island,PreK - Grade 8,http://eltingvillelutheranschool.org/
137,The Episcopal School,M,"35 E 69th Street, New York NY",10021,40.7695997,-73.9657732,Upper East Side,2.5-5 years,https://www.episcopalschool.org/page
138,Epiphany Catholic School,M,"234 East 22nd Street, New York NY",10010,40.7373434,-73.9820617,Flatiron District,PreK-Grade 3,http://theepiphanyschool.org/
139,Epiphany Community Nursery School,M,"510 East 74th St. New York, NY",10021,40.7677601,-73.952096,Upper East Side,2-5 years,https://www.ecnsnyc.org/
140,Ethical Culture Fieldston School,X,"3901 FIELDSTON ROAD, BRONX, NY",10471,40.8891752,-73.9063937,Riverdale BX,PreK-Grade 12,http://www.ecfs.org/
141,EVANGEL CHRISTIAN SCHOOL,Q,"39-21 Crescent St, Long Island City, NY",11101,40.7542097,-73.9371118,Long Island City,PreK - Grade 12,http://www.evangelchristianschool.org/preschool.php
142,Everbrook Academy of Manhattan,M,"225 E 38th St, New York, NY",10016,40.7479232,-73.9751516,Midtown East,2 - 5 years,https://www.everbrookacademy.com/our-schools/manhattan-ny-6538/?gclid=Cj0KCQjwk_TbBRDsARIsAALJSOZ9U4wP48Tc5nqQvG-Vaju-9OV6eqJ_Cw2ndR13Cna4CGKFkmrIUO8aAviLEALw_wcB&keyword=%2Bearly%20%2Bchildhood%20%2Bcenter&ef_id=WJvIEQAABejC9wuQ:20180822110445:s
143,Evolution Enrichment Center,M,"38 Delancey Street, New York, NY",10002,40.7199368,-73.9917721,Lower East Side,2 - 5 years,https://www.evolutionenrichment.com/
144,Faith Christian Academy,X,"1137 E. 223rd Street, Bronx, NY",10466,40.8825626,-73.8488671,Olinville,,http://www.faithchristianacad.com/Home_Page.php
145,The Family School,M,"323 E 47th St, New York, NY",10017,40.7526604,-73.968425,Midtown East,2 - Grade 6,https://www.trulia.com/schools/NY-new_york-the_family_school-5700080571
146,Fedkids Childcare Center,M,"26 Federal Plaza, Room 110, New York, NY",10278,40.7154857,-74.0041471,Tribeca,Infants-PreK,
147,French Institute Alliance Francaise Preschool,M,"22 East 60th Street, New York, NY",10022,40.7638132,-73.9703952,Upper East Side,3 - 4 years,http://www.fiafpreschool.org/
148,The First Presbyterian Church Nursery School,M,"12 West 12th Street, New York, NY",10011,40.734504,-73.995177,Greenwich Village,2 - 5.6 years,http://www.fpcns.org/
149,FOREST HILLS MONTESSORI SCHOOL,Q,"67-04 Austin St, Forest Hills, NY",11375,40.7239007,-73.855529,Forest Hills,3 - 12 years,https://fhmontessorischool.com/
150,Gan Aliya ,M,"270 W 84th St, New York, NY",10024,40.7871155,-73.9784804,Upper West Side,3-6 years,http://www.ganaliya.org/
151,Garden House School of New York 1,M,"40 Sutton Place, New York, NY",10065,40.7613202,-73.9577821,Upper East Side,2.5-6 years,http://www.gardenhouseschool.com/home_BM.html
152,Garden House School of New York 2,M,"37 East 63rd Street, New York, NY",10022,40.7659499,-73.968654,Midtown,2.5-6 years,http://www.gardenhouseschool.com/home_NY.html
153,Garden School,Q,"33-16 79th Street, Jackson Heights, NY",11372,40.7543703,-73.8885343,Jackson Heights,Nursery (1.9) through 12,www.gardenschool.org
154,The Garvey School,X,"950 Baychester Ave, Bronx, NY",10475,40.8779511,-73.8329466,Eastchester,Nursery (1.9) through Grade 6,http://www.garveyschool.org/
155,Geneva School of Manhattan,M,"138 W 90 St, New York, NY",10024,40.789644,-73.97233,Upper West Side,PreK-Grade 8,http://www.genevaschool.net/
156,Geneva School of Manhattan,M,"593 Park Ave, New York, NY",10065,40.7656561,-73.967277,Upper East Side,PreK,http://www.genevaschool.net/
157,Gillen Brewer School,M,"410 East 92nd Street New York, NY",10128,40.7801725,-73.9459245,Upper East Side,Pre K- Grade 5,https://www.gillenbrewer.com/
158,The Goddard School,M,"751 2nd Avenue, New York, NY",10017,40.7489394,-73.973072,Murray Hill,2 - 5 years,http://www.goddardschool.com/
159,The Goddard School,M,"2495 Broadway, New York, NY",10025,40.7927269,-73.9737163,Upper West Side,2 - 5 years,http://www.goddardschool.com/
160,The Goddard School,M,"1725 York Avenue, New York, NY",10128,40.7782664,-73.9459474,Upper East Side,2 - 5 years,http://www.goddardschool.com/
161,Good Shepherd Early Childhood Center,K,"1943 Brown Street, Brooklyn, NY",11229,40.6044033,-73.9403449,Marine Park,,www.goodshepherdbklyn.org
162,Grace Church School (NYC),M,"254 Hicks Street, Brooklyn NY",10003,40.6939159,-73.9968659,East Village,PreK-Grade 8,http://www.gcschool.org/
163,Greene Hill School,K,"39 Adelphi Street, Brooklyn, NY",11205,40.6968799,-73.9723278,Fort Greene,PreK - Grade 8,https://greenehillschool.org/
164,Guardian Angel School,M,"193 Tenth Avenue, New York, NY",10011,40.7468512,-74.0051577,Chelsea,Pre-K - Grade 8,http://www.guardianangelschool-nyc.org/
165,Gymtime Rhythm and Glues (York Avenue Preschool),M,"1520 York Avenue, New York, NY",10028,40.7722533,-73.9493686,Upper East Side,2-4 years,http://www.gymtime.net/
166,The Nursery School at Habonim,M,"103 West End Ave, New York, NY",10023,40.7750372,-73.9881811,Upper West Side,2.6-6 years,http://www.isaagny.org/school_directory/index.aspx?LinkID=22440
