,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
1375,R019,DOE,R,P.S. 019 The Curtis School,,718-442-3860,780 Post Ave,10310,1,36,948970,169185,mpetron@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r019,3,3,3,31R019,40.631214,-74.127101,1,49,141,5006175.0,5002270024.0,West New Brighton-New Brighton-St. George                                  
1376,R022,DOE,R,P.S. 022 Graniteville,,718-442-2219,1860 Frst Ave,10303,1,18,942320,167050,mdonath@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r022,2,7,3,31R022,40.625369,-74.15097,1,49,30302,5107239.0,5017060001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1377,R023,DOE,R,P.S. 023 Richmondtown,,718-351-1155,30 Natick St,10306,1,36,947379,147315,lklemas2@schools.nyc.gov,http://ps23r.org/,5,9,3,31R023,40.571187,-74.132634,3,50,138,5059927.0,5043730001.0,Oakwood-Oakwood Beach                                                      
1378,R026,DOE,R,P.S. 026 The Carteret School,,718-698-1530,4108 Victory Blvd,10314,1,18,931420,154880,lkump@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r026,2,3,3,31R026,40.591702000000005,-74.190648,2,50,29102,5107386.0,5026340001.0,New Springville-Bloomfield-Travis                                          
1379,R029,DOE,R,P.S. 029 Bardwell,,718-556-4400,1581 Victory Blvd,10314,1,18,951976,162938,lmanfredi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r029,2,3,3,31R029,40.613603999999995,-74.115988,1,50,147,5009028.0,5003310001.0,Westerleigh                                                                
1380,R030,DOE,R,P.S. 030 Westerleigh,,718-442-0462,200 Wardwell Ave,10314,1,18,947331,164417,aihne@schools.nyc.gov,http://ps30.org,2,3,3,31R030,40.618439,-74.132645,1,50,201,5113069.0,5004230009.0,Westerleigh                                                                
1381,R031,DOE,R,P.S. 031 William T Davis,,718-273-3500,55 Layton Ave,10301,1,36,960545,173121,cpatras@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r031,2,7,3,31R031,40.641595,-74.085135,1,49,9,5001150.0,5000490182.0,West New Brighton-New Brighton-St. George                                  
1382,R032,DOE,R,P.S. 032 The Gifford School,,718-984-1688,32 Elverton Ave,10308,1,54,941122,142722,jlarsen3@schools.nyc.gov,http://ps32statenisland.com,2,3,3,31R032,40.557876,-74.15535600000001,3,51,14608,5070651.0,5054440012.0,Great Kills                                                                
1383,R036,DOE,R,P.S. 036 J C Drumgoole,,718-984-1422,255 Ionia Ave,10312,1,110,933540,137305,bbellaf@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r036,2,3,1,31R036,40.543083,-74.182299,3,51,17005,5107742.0,5062620012.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1384,R038,DOE,R,P.S. 038 George Cromwell,,718-351-1225,421 Lincoln Ave,10306,1,36,956627,148713,erobles2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r038,2,3,3,31R038,40.575665,-74.101624,2,50,11202,5054213.0,5037320006.0,New Dorp-Midland Beach                                                     
1385,R039,DOE,R,P.S. 039 Francis J Murphy Jr.,,718-447-4543,71 Sand Ln,10305,1,18,964769,157094,twright2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r039,2,7,3,31R039,40.597679,-74.071529,2,50,2002,5045488.0,5030970014.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1386,R041,DOE,R,P.S. 041 New Dorp,,718-351-6777,216 Clawson St,10306,1,36,953966,148375,efeldma2@schools.nyc.gov,http://ps41.schoolwires.net,2,3,3,31R041,40.574044,-74.109282,2,50,122,5052791.0,5036450007.0,New Dorp-Midland Beach                                                     
1387,R042,DOE,R,P.S. 042 Eltingville,,718-984-3800,380 Genesee Ave,10312,1,54,937134,140519,bsharke@schools.nyc.gov,http://ps42.org,2,3,1,31R042,40.552523,-74.169464,3,51,17012,5074394.0,5056050001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1388,R044,DOE,R,P.S. 044 Thomas C Brown,,718-442-0433,80 Maple Pkwy,10303,1,84,940714,169414,wwilliams4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r044,2,3,3,31R044,40.63179,-74.156439,1,49,231,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1389,R045,DOE,R,P.S. 045 John Tyler,,718-442-6123,58 Lawrence Ave,10310,1,36,954439,168242,mpoli@schools.nyc.gov,http://ps45r.org,2,3,3,31R045,40.628558,-74.107148,1,49,121,5007417.0,5002760007.0,New Brighton-Silver Lake                                                   
1390,R046,DOE,R,P.S. 046 Albert V Maniscalco,,718-987-5155,41 Reid Ave,10305,1,18,961867,155715,amaffeo@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r046,2,3,3,31R046,40.59377,-74.08058,2,50,64,5047613.0,5032430001.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1391,R048,DOE,R,P.S. 048 William C Wilcox,,718-447-8323,1050 Targee St,10304,1,18,959003,158808,jmammol@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r048,2,3,3,31R048,40.603484,-74.09123699999999,2,50,50,5046367.0,5031680004.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1392,R050,DOE,R,P.S. 050 Frank Hankinson,,718-987-0396,200 Adelaide Ave,10306,1,36,949548,143884,jsantello@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r050,2,3,3,31R050,40.561690999999996,-74.124622,3,50,13204,5063495.0,5047160060.0,Oakwood-Oakwood Beach                                                      
1393,R052,DOE,R,P.S. 052 John C Thompson,,718-351-5454,450 Buel Ave,10305,1,54,959604,151523,jmccord@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r052,2,3,3,31R052,40.582744,-74.088509,2,50,11201,5053746.0,5037050001.0,Old Town-Dongan Hills-South Beach                                          
1394,R053,DOE,R,P.S. 053 Bay Terrace,<P> <Strong>Note:</strong>  Prioritizes Coast Guard families stationed at Fort Wadsworth.</P>,718-987-8020,330 Durant Ave,10308,1,84,946179,140518,aesposi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r053,3,3,1,31R053,40.55258,-74.13705999999999,3,51,13203,5065016.0,5051060001.0,Great Kills                                                                
1395,R054,DOE,R,P.S. 054 Charles W Leng,,718-698-0600,1060 Willowbrook Rd,10314,1,72,946017,158979,kcatanz@schools.nyc.gov,http://ps54ladybugs.org,2,3,1,31R054,40.603232,-74.13798100000001,2,50,27302,5034476.0,5019870104.0,New Springville-Bloomfield-Travis                                          
1396,R055,DOE,R,P.S. 055 Henry M Boehm,,718-356-2211,54 Osborne St,10312,1,36,938779,134762,ldeforest@ps55.org,http://schools.nyc.gov/schoolportals/31/r055,5,9,3,31R055,40.536639,-74.163815,3,51,15602,5069075.0,5053360001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1397,R056,DOE,R,P.S. 056 The Louis Desario School,,718-605-1189,250 Kramer Ave,10309,1,72,924769,136810,dscali@schools.nyc.gov,http://ps56r.org,2,7,3,31R056,40.542246,-74.21400200000001,3,51,20801,5128148.0,5070440001.0,Rossville-Woodrow                                                          
1398,R057,DOE,R,P.S. 057 Hubert H Humphrey,,718-447-1191,140 Palma Dr,10304,1,84,961094,161971,klindpo@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r057,2,3,3,31R057,40.611508,-74.083177,1,49,40,5043519.0,5028880040.0,Grymes Hill-Clifton-Fox Hills                                              
1399,R058,DOE,R,Space Shuttle Columbia School,,718-761-2155,77 Marsh Ave,10314,1,36,939621,151816,mlamort@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r058,5,9,3,31R058,40.583139,-74.161862,2,51,27702,5145698.0,5024500305.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1400,R059,DOE,R,The Harbor View School,,718-390-2190,300 Richmond Ter,10301,1,54,961097,175203,CMongie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r059,3,3,3,31R059,40.647890000000004,-74.08340600000001,1,49,7,5000126.0,5000140032.0,West New Brighton-New Brighton-St. George                                  
1401,R060,DOE,R,P.S. 060 Alice Austen,,718-761-3325,55 Merrill Ave,10314,1,36,939247,161684,dbonanno@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r060,2,3,3,31R060,40.610087,-74.162216,2,50,29104,5031151.0,5015800044.0,New Springville-Bloomfield-Travis                                          
1402,R062,DOE,R,P.S. 62,,718-935-3615,644 Bloomingdale Rd,10309,1,18,923599,136615,LSarnic@schools.nyc.gov,,5,9,3,31R062,40.541554999999995,-74.21793199999999,3,51,226,5158758.0,5070920039.0,Charleston-Richmond Valley-Tottenville                                     
1403,R065,DOE,R,P.S. 065 The Academy Of Innovative Learning,,718-981-5034,98 Grant St,10301,1,36,962491,170181,nsantaliz@schools.nyc.gov,http://ps65r.org,2,3,3,31R065,40.634032,-74.078611,1,49,21,5013382.0,5005060081.0,Stapleton-Rosebank                                                         
1404,R069,DOE,R,P.S. 069 Daniel D Tompkins,,718-698-6661,144 Keating Pl,10314,1,18,940576,154792,mgoodman2@schools.nyc.gov,http://ps69.org,2,3,3,31R069,40.591468,-74.156705,2,51,27705,5037541.0,5023660073.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1405,R078,DOE,R,P.S. 078,,718-442-3094,100 Tompkins Ave,10304,1,36,962270,165980,lbrusch@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r078,2,3,3,31R078,40.622455,-74.078508,1,49,29,5014176.0,5005450110.0,Stapleton-Rosebank                                                         
1406,R080,DOE,R,The Michael J Petrides School,,718-815-0186,715 Ocean Ter,10301,1,36,955015,160989,jbuckhe@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r080,2,3,3,31R080,40.608517,-74.102078,2,50,177,5113169.0,5006830001.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1407,R861,DOE,R,Staten Island School Of Civic Leadership,,718-697-5250,280 Regis Dr,10314,1,18,938504,165375,dnilsen@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r861,3,3,3,31R861,40.620676,-74.164277,1,49,30301,5032481.0,5016530001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1408,RAAA,NYCEEC,R,Academy Of St. Dorothy,,718-351-0939,1305 Hylan Blvd,10305,3,18,960125,156718,Srlisa@academyofstdorothy.org,http://academyofstdorothy.org,8,7,1,31RAAA,40.597128999999995,-74.085237,2,50,9601,5107505.0,5032150001.0,Old Town-Dongan Hills-South Beach                                          
1409,RAAH,NYCEEC,R,Community Resources Preschool,,718-568-3105,3651 Richmond Rd,10306,1,26,944496,147906,j.smith@cr-si.org,http://cr-si.org,7,7,1,31RAAH,40.572218,-74.14283,2,50,279,5037335.0,5022900025.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1410,RABA,NYCEEC,R,Our Lady Help Of Christians,,718-984-1360,23 Smt St,10307,1,40,916683,124975,si305@adnyeducation.org,,5,9,3,31RABA,40.509248,-74.243126,3,51,24401,5109820.0,5078960048.0,Charleston-Richmond Valley-Tottenville                                     
1411,RABC,NYCEEC,R,Our Lady Of Mount Carmel St. Benedicta,,718-981-5131,285 Clove Rd,10310,1,20,949450,169902,si306@adnyeducation.org,http://olmcsb.org,2,3,1,31RABC,40.633233000000004,-74.125783,1,49,13302,5089719.0,5002130001.0,West New Brighton-New Brighton-St. George                                  
1412,RABD,NYCEEC,R,Our Lady Queen Of Peace School,,718-351-0370,22 Steele Ave,10306,1,20,951537,149149,Si307@adnyeducation.org,http://olqpsi.com,8,3,2,31RABD,40.576347,-74.11794300000001,2,50,122,5107549.0,5036260013.0,New Dorp-Midland Beach                                                     
1413,RABJ,NYCEEC,R,Sacred Heart School,,718-442-0347,301 North Burgher Ave,10310,1,54,952594,170134,info@sacredheartschoolsi.org,http://sacredheartschoolsi.org,7,3,1,31RABJ,40.633571,-74.114272,1,49,105,5106588.0,5001630009.0,New Brighton-Silver Lake                                                   
1414,RABL,NYCEEC,R,St. Ann School,,718-351-4343,125 Cromwell Ave,10304,1,40,957287,154579,BERNADETTE.FICCHI@ARCHNY.ORG,,5,9,3,31RABL,40.590672,-74.09700600000001,2,50,9602,5048894.0,5033180001.0,Old Town-Dongan Hills-South Beach                                          
1415,RABM,NYCEEC,R,St. Charles School,,718-987-0200,200 Penn Ave,10306,1,40,951491,144636,StCharlesSchoolSI@gmail.com,http://saintcharlesschoolsi.org,7,3,2,31RABM,40.563839,-74.117835,3,50,13201,5107626.0,5042790001.0,Oakwood-Oakwood Beach                                                      
1416,RABN,NYCEEC,R,St. Christopher School,,718-351-0902,15 Lisbon Pl,10306,1,60,954083,151298,Catherine.Falabella@archny.org,http://stchristophersi.com,5,3,1,31RABN,40.581773999999996,-74.108405,2,50,11402,5051508.0,5035760023.0,New Dorp-Midland Beach                                                     
1417,RABP,NYCEEC,R,St. John's Ev Preschool,,718-761-1858,663 Mnr Rd,10314,1,36,950541,161851,Tsokolprek@gmail.com,http://stjohnslutheransi.org,7,7,1,31RABP,40.611081,-74.12175699999999,1,49,16901,5106922.0,5007070243.0,Westerleigh                                                                
1418,RABZ,NYCEEC,R,St. Patrick's,,718-979-8815,3560 Richmond Rd,10306,1,40,945580,147858,si325@adnyeducation.org,http://school.stpatrickssi.org/public/default.aspx,5,9,3,31RABZ,40.5727,-74.138731,3,50,138,5060448.0,5044240001.0,Oakwood-Oakwood Beach                                                      
1419,RACC,NYCEEC,R,St. Peter - St. Paul School,,718-447-1796,129 Clinton Ave,10301,1,60,957124,172947,Margaret.Annunziata@archny.org,http://stpeterstpaulschoolsi.org,2,3,1,31RACC,40.641265999999995,-74.09800200000001,1,49,81,5001813.0,5000730020.0,West New Brighton-New Brighton-St. George                                  
1420,RACE,NYCEEC,R,St. Rita School,,718-761-2504,30 Wellbrook Ave,10314,1,36,947871,159613,kathryn.franta@archny.org,,5,9,3,31RACE,40.604824,-74.130782,2,49,18702,5106948.0,5007700009.0,New Springville-Bloomfield-Travis                                          
1422,RACH,NYCEEC,R,St. Teresa Of The Infant Jesus,,718-448-9650,1632 Victory Blvd,10314,1,40,951680,162699,catherine.dempsey@archny.org,http://saintteresaschool.com,5,9,3,31RACH,40.613443,-74.117825,1,49,16901,5106921.0,5006950039.0,Westerleigh                                                                
1423,RACL,NYCEEC,R,The Gingerbread Learning Center,,718-356-0008,80 Woodrow Rd,10312,1,28,934083,144461,dennisdino73@aol.com,http://gingerbreadlctr.com,5,9,3,31RACL,40.56312,-74.180929,3,51,17008,5076998.0,5056880001.0,Arden Heights                                                              
1424,RACN,NYCEEC,R,"United Cerebral Palsy Of New York City, Inc.",,718-442-6006,281 Prt Richmond Ave,10302,1,16,946604,170403,lvoluz@ucpnyc.org,http://ucpnyc.org,2,3,2,31RACN,40.634510999999996,-74.135733,1,49,213,5024273.0,5010370006.0,Port Richmond                                                              
1425,RACS,NYCEEC,R,Children's Aid Society Richmond ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,917-426-0300,159 Broadway,10310,1,96,951709,171544,gvignola@childrensaidsociety.org,http://childrensaidsociety.org,3,3,1,31RACS,40.637531,-74.117594,1,49,105,5004830.0,5001740006.0,New Brighton-Silver Lake                                                   
1426,RACT,NYCEEC,R,Staten Island Mental Health Society III,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-816-5168,10 Kingsley Pl,10301,1,68,959544,170967,CGThevenot@aol.com,http://simhs.org,3,3,1,31RACT,40.63596,-74.088868,1,49,75,5106538.0,5001070017.0,New Brighton-Silver Lake                                                   
1427,RACX,NYCEEC,R,Jewish Community Center Of Staten Island,,718-475-5286,485 Victory Blvd,10301,1,54,959591,169066,dgallis@sijcc.com,http://sijcc.org,7,3,1,31RACX,40.630399,-74.088763,1,49,75,5002888.0,5001200118.0,New Brighton-Silver Lake                                                   
1428,RADB,NYCEEC,R,Little Lamb Preschool,,718-448-7774,2 Gridley Ave,10303,3,16,939950,169336,llpresch@gmail.com,,1,3,2,31RADB,40.631338,-74.159266,1,49,231,5126956.0,5012300016.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1429,RADK,NYCEEC,R,Bumblebees - R - Us,,718-494-4448,2734 Victory Blvd,10314,5,36,941848,161075,info@bumblebeesrus.com,http://bumblebeesrus.com,3,7,1,31RADK,40.608983,-74.152684,2,50,27301,5035098.0,5020850009.0,New Springville-Bloomfield-Travis                                          
1430,RADL,NYCEEC,R,Busy Beach Day Care Inc.,,718-667-2861,777 Seaview Ave Building 11,10305,1,10,961326,151792,theresa.folino@omh.ny.gov,http://busybeachdaycare.org,5,3,1,31RADL,40.579501,-74.078252,2,50,70,5111301.0,5033550001.0,Old Town-Dongan Hills-South Beach                                          
1431,RADM,NYCEEC,R,CAS SI Family Services Center,,718-273-5305,465 Villa Ave,10302,1,30,944628,168585,jagius@childrensaidsociety.org,http://childrensaidsociety.org,2,3,2,31RADM,40.629048,-74.14319,1,49,247,5107099.0,5011320046.0,Port Richmond                                                              
1432,RADN,NYCEEC,R,Foch,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,917-567-3545,195 Gordon St,10304,1,54,961424,166260,jhamilton2525@yahoo.com,http://fochdaycare.org,3,7,2,31RADN,40.622959,-74.082863,1,49,29,5108860.0,5005450100.0,Stapleton-Rosebank                                                         
1433,RADP,NYCEEC,R,Castleton Hill Moravian Preschool,,718-442-5350,1657 Victory Blvd,10314,3,36,951161,162865,mtobia@castletonhillpreschool.com,http://castletonhillpreschool.com,8,3,1,31RADP,40.613365,-74.118974,1,50,147,5089758.0,5003470006.0,Westerleigh                                                                
1434,RADW,NYCEEC,R,Staten Island Pre - School,,718-667-9235,145 Ross Ave,10306,1,18,951485,147754,Casips@aol.com,,5,3,1,31RADW,40.571991,-74.11786,2,50,134,5057429.0,5042120025.0,New Dorp-Midland Beach                                                     
1435,RAEG,NYCEEC,R,Islander's Kids,,718-979-5331,219 Jefferson Ave,10306,3,36,956771,151285,elfridman@yahoo.com,,5,9,3,31RAEG,40.581802,-74.099254,2,50,11401,5051105.0,5035590010.0,Old Town-Dongan Hills-South Beach                                          
1436,RAEH,NYCEEC,R,Smiles Around Us,,718-475-5234,3854 Hylan Blvd,10308,1,18,944593,137912,abruckmeir@sijcc.com,,5,9,3,31RAEH,40.545258000000004,-74.142924,3,51,15603,5107672.0,5052030012.0,Great Kills                                                                
1437,RAEM,NYCEEC,R,Sisters Of St. John The Baptist Inc.,,718-447-4150,57 Cleveland Pl,10305,1,40,965357,158486,upksjva@sjva.org,http://sjva.org,5,9,3,31RAEM,40.602182,-74.06881800000001,2,50,2002,5108458.0,5030870001.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1438,RAEN,NYCEEC,R,Rose Group Family Day Care I,,718-913-0327,104 Birch Rd,10303,1,12,938237,166739,sbuttrosedaycare@gmail.com,,5,9,3,31RAEN,40.624365999999995,-74.165565,1,49,30302,5033406.0,5016700539.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1439,RAEW,NYCEEC,R,"4 Angels Day Care, Inc.",,718-876-6498,245 Simonson Ave,10303,1,13,942018,169003,my4angelsdaycareinc@msn.com,http://4angelsdaycareinc.com,2,7,1,31RAEW,40.63065,-74.152376,1,49,239,5026928.0,5011760042.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
1440,RAEX,NYCEEC,R,Holy Rosary School,,718-447-6209,100 Jerome Ave,10305,1,90,963114,156273,efracchiolla@holyrosaryschoolsi.org,http://holyrosaryschoolsi.org,2,3,1,31RAEX,40.596087,-74.076032,2,50,64,5047668.0,5032470020.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1441,RAEY,NYCEEC,R,St. Adalbert's School,,718-442-2020,355 Morningstar Rd,10303,1,40,943439,168670,Jbadillo.upk@aol.com,http://stadalbertschool.com,2,3,1,31RAEY,40.629704,-74.147406,1,49,247,5107102.0,5011360063.0,Port Richmond                                                              
1442,RAFF,NYCEEC,R,Big Birds Playhouse Corp.,,718-982-0550,1859 Richmond Ave,10314,1,72,939029,158816,dinamarie812@aol.com,http://bigbirdsplayhouse.com,7,7,1,31RAFF,40.602669,-74.163087,2,50,27301,5034924.0,5020300047.0,New Springville-Bloomfield-Travis                                          
1443,RAFG,NYCEEC,R,Friends Preschool,,718-984-5194,610 Bloomingdale Rd,10309,1,14,923662,136212,friendspreschool@verizon.net,,5,9,3,31RAFG,40.540436,-74.21771600000001,3,51,226,5086672.0,5070910001.0,Charleston-Richmond Valley-Tottenville                                     
1444,RAFH,NYCEEC,R,"Castle Day Care II, Inc.",,718-448-5439,211 Canal St,10304,1,18,962076,167037,castledaycare2@verizon.net,,5,9,3,31RAFH,40.624987,-74.079527,1,49,21,5141769.0,5005270059.0,Stapleton-Rosebank                                                         
1445,RAFI,NYCEEC,R,"Castle Day Care, Inc.",,718-447-3140,1141 Castleton Ave,10310,1,26,950820,170438,castledaycare@si.rr.com,http://castledaycaresiny.com,2,8,1,31RAFI,40.634303,-74.120301,1,49,13302,5132394.0,5001970125.0,West New Brighton-New Brighton-St. George                                  
1446,RAFJ,NYCEEC,R,Child Study Center Of New York,,718-442-8588,285 Clove Rd,10310,2,65,949445,169948,Oledgister@cscofny.org,http://cscofny.org,2,3,2,31RAFJ,40.633233000000004,-74.125783,1,49,13302,5089719.0,5002130001.0,West New Brighton-New Brighton-St. George                                  
1447,RAFK,NYCEEC,R,Children's Harbor Montessori School,,718-442-6112,1000 Richmond Ter,10301,3,27,955191,174203,childharborms@aol.com,,5,9,3,31RAFK,40.645232,-74.104674,1,49,97,5000000.0,5000760200.0,West New Brighton-New Brighton-St. George                                  
1448,RAFL,NYCEEC,R,The Foresight School,,718-761-6060,2221 Richmond Ave,10314,1,88,939144,155283,werforesight@aol.com,,5,3,1,31RAFL,40.592648,-74.163124,2,51,27706,5038357.0,5023800110.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1449,RAFN,NYCEEC,R,"High Hopes Of Staten Island, Inc.",,718-317-8143,1298 Woodrow Rad,10309,1,20,926370,136598,admin@highhopeschildcare.com,http://highhopeschildcare.com,5,7,1,31RAFN,40.541639,-74.208405,3,51,20803,5085132.0,5069340101.0,Rossville-Woodrow                                                          
1450,RAFO,NYCEEC,R,Jewish Community Center Of Staten Island,,718-475-5225,1466 Mnr Rd,10314,1,44,949163,155993,bhoward@sijcc.com,http://sijcc.org,7,3,1,31RAFO,40.594454,-74.125677,2,50,181,5141743.0,5009550100.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1451,RAFP,NYCEEC,R,Jewish Community Center Of Staten Island,,718-475-5224,1297 Arthur Kill Rd,10312,1,62,933255,145404,jhoward@sijcc.com,http://sijcc.org,7,3,1,31RAFP,40.565262,-74.183882,3,51,228,5077603.0,5059000105.0,New Springville-Bloomfield-Travis                                          
1452,RAFR,NYCEEC,R,Mini World Preschool,,718-948-9535,7516 Amboy Rd,10307,1,18,915791,124835,miniworld2001@aol.com,http://miniworldpreschool.com,5,3,1,31RAFR,40.509177,-74.246427,3,51,24401,5107855.0,5079140005.0,Charleston-Richmond Valley-Tottenville                                     
1453,RAFS,NYCEEC,R,Mission Of The Immaculate Virgin,,718-317-2849,6581 Hylan Blvd,10309,1,33,922449,124996,bmazzola@mountloretto.org,http://mountloretto.org,8,3,1,31RAFS,40.508809,-74.222403,3,51,198,5123970.0,5076640001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
